country,region,year,timestamp,crop_type,temperature,rainfall,humidity,N,P,K,ph,crop_yield
Canada,Quebec,1995,1995-01-01,Cotton,16.52,2025.11,80.01089273,117.0,46.0,19.0,6.8409568125,4.338
Canada,Prairies,2018,2018-01-01,Fruits,31.98,609.15,80.473145665,,,,,2.33
Canada,Prairies,2002,2002-01-01,Soybeans,1.92,541.99,80.473145665,,,,,0.71
Canada,Ontario,2024,2024-01-01,Barley,4.99,2697.15,80.473145665,,,,,2.619
China,East,2004,2004-01-01,Rice,-0.5,2892.43,82.18935719499999,80.0,47.0,40.0,6.363803588,1.593
China,South,1999,1999-01-01,Vegetables,5.46,751.6,80.473145665,,,,,0.54
Brazil,North,2015,2015-01-01,Sugarcane,14.69,804.11,80.473145665,,,,,4.248
Brazil,North,2008,2008-01-01,Fruits,5.64,2780.22,80.473145665,,,,,0.477
Brazil,Southeast,2005,2005-01-01,Cotton,33.17,1910.34,80.01089273,117.0,46.0,19.0,6.8409568125,1.28
Argentina,Pampas,1998,1998-01-01,Soybeans,0.15,1838.65,80.473145665,,,,,2.232
Australia,Western Australia,2020,2020-01-01,Sugarcane,17.77,1743.11,80.473145665,,,,,1.69
Russia,Volga,2019,2019-01-01,Vegetables,11.53,2654.03,80.473145665,,,,,2.88
Russia,Northwestern,1994,1994-01-01,Cotton,19.82,2369.04,80.01089273,117.0,46.0,19.0,6.8409568125,3.024
Argentina,Pampas,2019,2019-01-01,Rice,2.33,839.77,82.18935719499999,80.0,47.0,40.0,6.363803588,2.0160000000000005
Brazil,Northeast,1991,1991-01-01,Cotton,29.06,566.0,80.01089273,117.0,46.0,19.0,6.8409568125,2.41
USA,South,2024,2024-01-01,Wheat,12.18,1647.58,80.473145665,,,,,1.872
Brazil,South,1998,1998-01-01,Rice,28.86,1970.45,82.18935719499999,80.0,47.0,40.0,6.363803588,1.93
China,South,2022,2022-01-01,Barley,6.49,2719.06,80.473145665,,,,,0.873
Argentina,Northwest,2015,2015-01-01,Rice,4.45,900.63,82.18935719499999,80.0,47.0,40.0,6.363803588,0.855
Brazil,Southeast,2007,2007-01-01,Soybeans,10.27,2913.02,80.473145665,,,,,1.584
China,South,2002,2002-01-01,Sugarcane,8.88,947.14,80.473145665,,,,,2.241
India,West Bengal,2007,2007-01-01,Vegetables,27.45,784.04,80.473145665,,,,,2.6
Canada,Quebec,1992,1992-01-01,Sugarcane,10.05,1945.3,80.473145665,,,,,3.13
India,Maharashtra,2016,2016-01-01,Cotton,-2.28,2300.89,80.01089273,117.0,46.0,19.0,6.8409568125,1.944
India,Punjab,2013,2013-01-01,Cotton,9.95,1210.23,80.01089273,117.0,46.0,19.0,6.8409568125,2.88
Canada,Quebec,2013,2013-01-01,Cotton,32.58,2162.09,80.01089273,117.0,46.0,19.0,6.8409568125,3.91
Argentina,Northwest,2016,2016-01-01,Coffee,20.28,571.36,57.648082825,103.0,29.0,30.0,6.798626238000001,1.269
France,Ile-de-France,2008,2008-01-01,Soybeans,11.3,2304.13,80.473145665,,,,,3.798
France,Ile-de-France,1992,1992-01-01,Coffee,-2.68,996.46,57.648082825,103.0,29.0,30.0,6.798626238000001,2.4480000000000004
India,Punjab,1998,1998-01-01,Sugarcane,16.81,689.7,80.473145665,,,,,3.22
USA,Northeast,2023,2023-01-01,Cotton,30.62,1630.22,80.01089273,117.0,46.0,19.0,6.8409568125,3.249
Canada,Prairies,2014,2014-01-01,Coffee,23.46,269.7,57.648082825,103.0,29.0,30.0,6.798626238000001,1.809
Australia,Victoria,1999,1999-01-01,Barley,1.33,305.9,80.473145665,,,,,1.566
USA,Northeast,2021,2021-01-01,Fruits,23.3,1740.68,80.473145665,,,,,0.747
France,Ile-de-France,2003,2003-01-01,Cotton,27.89,1929.13,80.01089273,117.0,46.0,19.0,6.8409568125,3.87
France,Provence-Alpes-Cote d’Azur,2012,2012-01-01,Coffee,3.2,2121.73,57.648082825,103.0,29.0,30.0,6.798626238000001,2.44
USA,West,2011,2011-01-01,Corn,15.76,2317.59,80.473145665,,,,,3.807
India,Punjab,2002,2002-01-01,Corn,9.97,2310.19,80.473145665,,,,,1.053
China,East,1991,1991-01-01,Wheat,11.6,2439.05,80.473145665,,,,,4.79
Nigeria,North West,2000,2000-01-01,Rice,6.26,1404.1,82.18935719499999,80.0,47.0,40.0,6.363803588,2.43
USA,Northeast,2019,2019-01-01,Vegetables,24.62,1342.63,80.473145665,,,,,2.628
Australia,Victoria,2008,2008-01-01,Coffee,20.94,2639.05,57.648082825,103.0,29.0,30.0,6.798626238000001,1.97
Nigeria,South East,1996,1996-01-01,Wheat,23.0,1189.48,80.473145665,,,,,2.6910000000000003
Russia,Central,2014,2014-01-01,Rice,29.17,1405.59,82.18935719499999,80.0,47.0,40.0,6.363803588,1.81
Brazil,North,2006,2006-01-01,Cotton,26.73,1660.23,80.01089273,117.0,46.0,19.0,6.8409568125,1.98
China,East,2009,2009-01-01,Rice,21.37,636.48,82.18935719499999,80.0,47.0,40.0,6.363803588,0.8190000000000001
Brazil,Northeast,2012,2012-01-01,Barley,-0.86,1303.28,80.473145665,,,,,1.07
Australia,Victoria,1999,1999-01-01,Vegetables,11.75,1919.54,80.473145665,,,,,2.31
Nigeria,North Central,2011,2011-01-01,Soybeans,-2.44,586.46,80.473145665,,,,,0.95
France,Nouvelle-Aquitaine,2015,2015-01-01,Cotton,18.52,780.09,80.01089273,117.0,46.0,19.0,6.8409568125,2.19
Canada,Quebec,2023,2023-01-01,Wheat,-2.61,710.57,80.473145665,,,,,2.48
Argentina,Pampas,2013,2013-01-01,Cotton,23.46,993.99,80.01089273,117.0,46.0,19.0,6.8409568125,1.521
France,Ile-de-France,2020,2020-01-01,Coffee,16.75,2854.49,57.648082825,103.0,29.0,30.0,6.798626238000001,3.366
France,Nouvelle-Aquitaine,2002,2002-01-01,Vegetables,15.62,2348.64,80.473145665,,,,,3.95
Brazil,Southeast,2024,2024-01-01,Rice,-0.91,916.1,82.18935719499999,80.0,47.0,40.0,6.363803588,0.56
Brazil,North,1991,1991-01-01,Corn,10.88,2160.93,80.473145665,,,,,2.13
Australia,New South Wales,2019,2019-01-01,Wheat,16.22,1222.35,80.473145665,,,,,1.62
Argentina,Patagonia,2024,2024-01-01,Coffee,2.79,1944.52,57.648082825,103.0,29.0,30.0,6.798626238000001,0.8280000000000001
Brazil,Northeast,2016,2016-01-01,Soybeans,32.37,1103.04,80.473145665,,,,,1.404
China,South,2017,2017-01-01,Rice,1.05,2618.59,82.18935719499999,80.0,47.0,40.0,6.363803588,0.81
China,South,2005,2005-01-01,Corn,-3.75,1051.31,80.473145665,,,,,0.99
USA,West,1993,1993-01-01,Rice,18.05,391.16,82.18935719499999,80.0,47.0,40.0,6.363803588,3.96
China,South,2022,2022-01-01,Wheat,-0.34,2967.32,80.473145665,,,,,1.557
Brazil,North,2010,2010-01-01,Vegetables,0.08,1662.53,80.473145665,,,,,2.22
Russia,Siberian,2012,2012-01-01,Wheat,31.67,863.78,80.473145665,,,,,3.02
Argentina,Northwest,1997,1997-01-01,Soybeans,13.99,1063.82,80.473145665,,,,,3.07
Russia,Central,2009,2009-01-01,Fruits,13.2,2713.36,80.473145665,,,,,4.31
Nigeria,South East,2016,2016-01-01,Barley,15.75,2128.68,80.473145665,,,,,3.483
Australia,Western Australia,2011,2011-01-01,Soybeans,1.57,798.14,80.473145665,,,,,2.36
Nigeria,North West,2004,2004-01-01,Corn,32.28,1836.63,80.473145665,,,,,3.42
India,Punjab,1998,1998-01-01,Soybeans,12.14,1507.9,80.473145665,,,,,4.79
Russia,Northwestern,2009,2009-01-01,Wheat,-2.0,2280.09,80.473145665,,,,,1.81
Canada,Quebec,1990,1990-01-01,Corn,15.3,739.72,80.473145665,,,,,3.27
India,West Bengal,2020,2020-01-01,Sugarcane,18.74,309.92,80.473145665,,,,,3.042
Canada,Prairies,1992,1992-01-01,Wheat,29.66,1021.58,80.473145665,,,,,1.242
France,Ile-de-France,2009,2009-01-01,Rice,20.82,1797.23,82.18935719499999,80.0,47.0,40.0,6.363803588,1.89
Canada,Ontario,2003,2003-01-01,Vegetables,8.74,1441.35,80.473145665,,,,,1.23
Nigeria,North Central,1995,1995-01-01,Fruits,18.36,1185.54,80.473145665,,,,,3.35
Argentina,Northeast,2017,2017-01-01,Coffee,-0.53,2177.52,57.648082825,103.0,29.0,30.0,6.798626238000001,1.32
Argentina,Northwest,1995,1995-01-01,Corn,16.05,915.89,80.473145665,,,,,3.72
Nigeria,South East,2018,2018-01-01,Soybeans,4.57,494.92,80.473145665,,,,,2.043
France,Grand Est,2002,2002-01-01,Fruits,14.59,1814.94,80.473145665,,,,,3.37
Australia,Queensland,2014,2014-01-01,Rice,9.68,2510.94,82.18935719499999,80.0,47.0,40.0,6.363803588,1.908
China,North,2012,2012-01-01,Wheat,4.62,242.14,80.473145665,,,,,1.575
Australia,New South Wales,2019,2019-01-01,Rice,4.53,2513.56,82.18935719499999,80.0,47.0,40.0,6.363803588,0.99
Canada,Quebec,2008,2008-01-01,Wheat,5.77,1034.34,80.473145665,,,,,0.61
Nigeria,South West,1993,1993-01-01,Fruits,32.78,854.02,80.473145665,,,,,2.86
Canada,Ontario,2022,2022-01-01,Fruits,-0.51,2093.27,80.473145665,,,,,2.88
USA,South,1997,1997-01-01,Coffee,34.07,1965.45,57.648082825,103.0,29.0,30.0,6.798626238000001,2.853
Brazil,South,2011,2011-01-01,Fruits,13.29,1277.82,80.473145665,,,,,4.0
China,East,1994,1994-01-01,Cotton,19.72,1314.65,80.01089273,117.0,46.0,19.0,6.8409568125,2.06
France,Ile-de-France,2022,2022-01-01,Rice,33.63,790.51,82.18935719499999,80.0,47.0,40.0,6.363803588,2.73
Nigeria,South East,2000,2000-01-01,Rice,28.65,1312.04,82.18935719499999,80.0,47.0,40.0,6.363803588,3.4650000000000003
Australia,Queensland,2016,2016-01-01,Rice,24.16,1676.06,82.18935719499999,80.0,47.0,40.0,6.363803588,1.386
USA,Midwest,2012,2012-01-01,Vegetables,-3.77,698.5,80.473145665,,,,,1.2060000000000002
Australia,Victoria,2008,2008-01-01,Corn,25.49,1704.94,80.473145665,,,,,1.611
France,Provence-Alpes-Cote d’Azur,2010,2010-01-01,Sugarcane,2.41,256.48,80.473145665,,,,,0.936
Nigeria,North West,1990,1990-01-01,Vegetables,4.03,338.35,80.473145665,,,,,1.116
USA,South,2000,2000-01-01,Vegetables,23.61,1287.1,80.473145665,,,,,1.476
Argentina,Northeast,1993,1993-01-01,Cotton,11.76,949.18,80.01089273,117.0,46.0,19.0,6.8409568125,2.871
Canada,Quebec,2018,2018-01-01,Coffee,32.91,2220.48,57.648082825,103.0,29.0,30.0,6.798626238000001,3.15
Canada,British Columbia,2003,2003-01-01,Coffee,2.67,2587.66,57.648082825,103.0,29.0,30.0,6.798626238000001,1.197
USA,Midwest,1994,1994-01-01,Vegetables,13.55,2895.8,80.473145665,,,,,3.55
Argentina,Northwest,2006,2006-01-01,Coffee,10.13,890.52,57.648082825,103.0,29.0,30.0,6.798626238000001,3.474
France,Nouvelle-Aquitaine,2008,2008-01-01,Cotton,9.84,2318.15,80.01089273,117.0,46.0,19.0,6.8409568125,2.96
Nigeria,South East,2007,2007-01-01,Soybeans,32.22,1904.65,80.473145665,,,,,2.367
Argentina,Pampas,2002,2002-01-01,Coffee,14.27,2838.72,57.648082825,103.0,29.0,30.0,6.798626238000001,1.467
Australia,Queensland,2001,2001-01-01,Cotton,-2.56,968.1,80.01089273,117.0,46.0,19.0,6.8409568125,1.78
Canada,Ontario,2006,2006-01-01,Rice,28.83,1127.9,82.18935719499999,80.0,47.0,40.0,6.363803588,1.11
Nigeria,North West,2014,2014-01-01,Barley,-2.66,2392.65,80.473145665,,,,,1.3
Brazil,Southeast,2010,2010-01-01,Corn,16.09,2159.68,80.473145665,,,,,3.528
Canada,Quebec,1996,1996-01-01,Corn,9.04,2443.72,80.473145665,,,,,1.29
France,Grand Est,2008,2008-01-01,Coffee,9.46,2091.63,57.648082825,103.0,29.0,30.0,6.798626238000001,0.72
Nigeria,North Central,2016,2016-01-01,Corn,10.21,1705.08,80.473145665,,,,,4.64
India,Tamil Nadu,1992,1992-01-01,Cotton,-0.23,1083.84,80.01089273,117.0,46.0,19.0,6.8409568125,2.673
Russia,Siberian,2009,2009-01-01,Rice,2.6,1906.86,82.18935719499999,80.0,47.0,40.0,6.363803588,2.4
India,Tamil Nadu,2007,2007-01-01,Vegetables,26.58,1780.37,80.473145665,,,,,2.69
USA,West,2008,2008-01-01,Barley,20.12,1726.06,80.473145665,,,,,3.519
Brazil,North,2022,2022-01-01,Barley,17.9,2948.08,80.473145665,,,,,2.934
India,West Bengal,1997,1997-01-01,Rice,22.27,2731.72,82.18935719499999,80.0,47.0,40.0,6.363803588,1.485
Canada,British Columbia,2021,2021-01-01,Vegetables,10.72,2592.91,80.473145665,,,,,1.66
Russia,Siberian,2004,2004-01-01,Rice,11.52,1307.87,82.18935719499999,80.0,47.0,40.0,6.363803588,2.66
Nigeria,North Central,2006,2006-01-01,Rice,-1.84,588.7,82.18935719499999,80.0,47.0,40.0,6.363803588,1.485
France,Grand Est,2022,2022-01-01,Cotton,32.86,357.28,80.01089273,117.0,46.0,19.0,6.8409568125,1.215
Canada,Ontario,2002,2002-01-01,Sugarcane,12.66,369.35,80.473145665,,,,,2.0160000000000005
India,Maharashtra,2023,2023-01-01,Barley,22.84,1773.19,80.473145665,,,,,1.27
Australia,Victoria,2003,2003-01-01,Corn,17.16,1583.9,80.473145665,,,,,2.529
Australia,Western Australia,2008,2008-01-01,Sugarcane,29.98,2261.36,80.473145665,,,,,2.043
Nigeria,South West,2006,2006-01-01,Rice,13.91,2422.18,82.18935719499999,80.0,47.0,40.0,6.363803588,2.13
Russia,Siberian,1997,1997-01-01,Corn,16.16,1437.26,80.473145665,,,,,2.358
Australia,Western Australia,2014,2014-01-01,Barley,11.97,925.85,80.473145665,,,,,4.104
France,Provence-Alpes-Cote d’Azur,2024,2024-01-01,Rice,8.44,1826.14,82.18935719499999,80.0,47.0,40.0,6.363803588,2.39
Canada,Ontario,2024,2024-01-01,Coffee,23.95,2897.93,57.648082825,103.0,29.0,30.0,6.798626238000001,1.81
Russia,Northwestern,1994,1994-01-01,Rice,28.6,1115.66,82.18935719499999,80.0,47.0,40.0,6.363803588,1.638
China,East,2002,2002-01-01,Rice,11.63,2213.48,82.18935719499999,80.0,47.0,40.0,6.363803588,3.1410000000000005
USA,Midwest,2013,2013-01-01,Corn,5.74,2114.15,80.473145665,,,,,2.94
France,Nouvelle-Aquitaine,2012,2012-01-01,Sugarcane,12.77,2558.77,80.473145665,,,,,1.6
China,South,2018,2018-01-01,Soybeans,-3.26,2404.68,80.473145665,,,,,0.657
Australia,Victoria,2021,2021-01-01,Coffee,8.2,1856.73,57.648082825,103.0,29.0,30.0,6.798626238000001,1.431
Nigeria,South West,2003,2003-01-01,Soybeans,-1.54,2701.05,80.473145665,,,,,2.14
Brazil,South,1999,1999-01-01,Corn,6.32,2275.48,80.473145665,,,,,1.539
Canada,Quebec,2009,2009-01-01,Sugarcane,12.7,968.45,80.473145665,,,,,2.52
Russia,Northwestern,2021,2021-01-01,Coffee,32.46,2043.46,57.648082825,103.0,29.0,30.0,6.798626238000001,1.67
India,Punjab,1995,1995-01-01,Soybeans,20.86,1283.71,80.473145665,,,,,1.2240000000000002
Argentina,Northeast,2003,2003-01-01,Soybeans,33.88,2590.81,80.473145665,,,,,2.547
Australia,Victoria,1998,1998-01-01,Fruits,8.51,1046.72,80.473145665,,,,,1.215
USA,Northeast,1997,1997-01-01,Soybeans,3.84,1178.99,80.473145665,,,,,1.33
Argentina,Northeast,1999,1999-01-01,Fruits,0.86,273.9,80.473145665,,,,,2.277
USA,Midwest,2005,2005-01-01,Fruits,17.33,1339.45,80.473145665,,,,,3.45
Canada,British Columbia,2004,2004-01-01,Soybeans,29.61,1033.75,80.473145665,,,,,1.63
Nigeria,South East,2014,2014-01-01,Fruits,27.59,1314.12,80.473145665,,,,,1.152
Argentina,Northwest,2017,2017-01-01,Rice,27.8,876.63,82.18935719499999,80.0,47.0,40.0,6.363803588,3.15
India,Punjab,2015,2015-01-01,Cotton,8.81,205.46,80.01089273,117.0,46.0,19.0,6.8409568125,0.657
Canada,Prairies,2013,2013-01-01,Wheat,19.01,1261.46,80.473145665,,,,,3.87
Argentina,Northwest,2008,2008-01-01,Wheat,3.83,1909.91,80.473145665,,,,,1.11
Australia,Queensland,2014,2014-01-01,Corn,16.2,2682.47,80.473145665,,,,,3.98
Nigeria,South West,2017,2017-01-01,Corn,16.52,2592.7,80.473145665,,,,,2.31
China,East,2001,2001-01-01,Corn,32.57,2108.28,80.473145665,,,,,3.1410000000000005
Argentina,Pampas,1990,1990-01-01,Wheat,14.98,1175.6,80.473145665,,,,,4.383
Canada,Ontario,2011,2011-01-01,Cotton,10.99,1951.52,80.01089273,117.0,46.0,19.0,6.8409568125,2.601
Canada,British Columbia,1998,1998-01-01,Corn,14.36,296.95,80.473145665,,,,,3.078
China,Central,1999,1999-01-01,Rice,31.26,853.27,82.18935719499999,80.0,47.0,40.0,6.363803588,1.404
Argentina,Patagonia,2010,2010-01-01,Soybeans,1.97,2570.13,80.473145665,,,,,2.556
Russia,Northwestern,2015,2015-01-01,Fruits,8.37,764.58,80.473145665,,,,,1.584
USA,West,2008,2008-01-01,Barley,24.57,1212.42,80.473145665,,,,,3.0
Argentina,Northeast,2014,2014-01-01,Corn,34.88,2816.57,80.473145665,,,,,1.035
India,Tamil Nadu,2017,2017-01-01,Rice,25.13,917.26,82.18935719499999,80.0,47.0,40.0,6.363803588,1.566
China,East,1990,1990-01-01,Wheat,15.42,269.76,80.473145665,,,,,2.007
USA,South,2004,2004-01-01,Vegetables,-4.37,2292.03,80.473145665,,,,,2.583
China,Central,2024,2024-01-01,Rice,34.18,2247.4,82.18935719499999,80.0,47.0,40.0,6.363803588,3.33
France,Grand Est,1993,1993-01-01,Cotton,17.03,2963.0,80.01089273,117.0,46.0,19.0,6.8409568125,3.015
USA,West,2023,2023-01-01,Corn,28.55,2395.28,80.473145665,,,,,2.17
Nigeria,South East,2003,2003-01-01,Wheat,32.69,2947.62,80.473145665,,,,,0.7290000000000001
India,Punjab,2023,2023-01-01,Barley,29.49,935.71,80.473145665,,,,,2.655
Argentina,Northwest,1995,1995-01-01,Corn,4.73,2974.22,80.473145665,,,,,2.97
France,Grand Est,2010,2010-01-01,Fruits,19.91,852.78,80.473145665,,,,,2.09
Argentina,Patagonia,2010,2010-01-01,Barley,31.97,1101.92,80.473145665,,,,,1.99
France,Grand Est,2007,2007-01-01,Vegetables,28.35,2444.37,80.473145665,,,,,2.6
Nigeria,South East,1995,1995-01-01,Coffee,11.56,2329.59,57.648082825,103.0,29.0,30.0,6.798626238000001,1.53
Russia,Central,2003,2003-01-01,Corn,4.3,2944.75,80.473145665,,,,,0.5940000000000001
China,South,1991,1991-01-01,Vegetables,1.28,1509.39,80.473145665,,,,,2.56
China,South,2023,2023-01-01,Coffee,1.63,2849.39,57.648082825,103.0,29.0,30.0,6.798626238000001,1.01
Russia,Northwestern,2003,2003-01-01,Corn,3.21,1949.4,80.473145665,,,,,0.9
Argentina,Pampas,1993,1993-01-01,Barley,16.71,1542.5,80.473145665,,,,,3.85
France,Grand Est,1995,1995-01-01,Soybeans,27.16,1497.41,80.473145665,,,,,2.3400000000000003
Argentina,Patagonia,1997,1997-01-01,Vegetables,15.73,1302.95,80.473145665,,,,,2.988
India,Maharashtra,1991,1991-01-01,Wheat,10.87,333.73,80.473145665,,,,,1.872
Brazil,Northeast,2013,2013-01-01,Fruits,32.56,2844.46,80.473145665,,,,,3.69
Argentina,Patagonia,2019,2019-01-01,Wheat,17.6,2432.88,80.473145665,,,,,4.87
France,Nouvelle-Aquitaine,2020,2020-01-01,Sugarcane,17.81,796.73,80.473145665,,,,,3.67
France,Provence-Alpes-Cote d’Azur,1990,1990-01-01,Rice,23.2,1012.38,82.18935719499999,80.0,47.0,40.0,6.363803588,2.637
Nigeria,South East,1997,1997-01-01,Soybeans,4.88,708.98,80.473145665,,,,,2.93
Brazil,Southeast,2002,2002-01-01,Wheat,16.35,248.51,80.473145665,,,,,3.357
Brazil,South,1996,1996-01-01,Cotton,25.49,572.52,80.01089273,117.0,46.0,19.0,6.8409568125,2.78
Brazil,Southeast,2017,2017-01-01,Soybeans,33.18,2917.84,80.473145665,,,,,3.5010000000000003
France,Ile-de-France,2003,2003-01-01,Cotton,27.94,1819.47,80.01089273,117.0,46.0,19.0,6.8409568125,3.82
India,Punjab,2004,2004-01-01,Vegetables,25.96,1160.56,80.473145665,,,,,3.321
China,North,1997,1997-01-01,Fruits,14.81,1514.92,80.473145665,,,,,4.014
Brazil,Southeast,2000,2000-01-01,Rice,33.06,465.15,82.18935719499999,80.0,47.0,40.0,6.363803588,3.051
Russia,Siberian,2011,2011-01-01,Soybeans,12.15,212.75,80.473145665,,,,,3.807
Brazil,North,2005,2005-01-01,Vegetables,21.28,1176.16,80.473145665,,,,,1.035
Russia,Siberian,2002,2002-01-01,Corn,31.96,1018.12,80.473145665,,,,,3.72
Australia,Queensland,1994,1994-01-01,Corn,31.39,798.65,80.473145665,,,,,0.83
USA,South,2012,2012-01-01,Rice,11.88,1364.47,82.18935719499999,80.0,47.0,40.0,6.363803588,4.18
Argentina,Patagonia,2024,2024-01-01,Rice,-1.03,1375.44,82.18935719499999,80.0,47.0,40.0,6.363803588,0.486
Canada,Ontario,1994,1994-01-01,Coffee,21.13,1073.43,57.648082825,103.0,29.0,30.0,6.798626238000001,0.954
Brazil,South,1992,1992-01-01,Rice,20.9,2339.05,82.18935719499999,80.0,47.0,40.0,6.363803588,2.31
India,Tamil Nadu,2010,2010-01-01,Wheat,21.77,210.3,80.473145665,,,,,0.801
India,West Bengal,2019,2019-01-01,Fruits,-2.7,2741.68,80.473145665,,,,,1.74
Canada,Quebec,2009,2009-01-01,Cotton,28.85,2028.33,80.01089273,117.0,46.0,19.0,6.8409568125,3.12
Nigeria,South West,2019,2019-01-01,Vegetables,14.31,2022.69,80.473145665,,,,,3.78
France,Grand Est,2018,2018-01-01,Rice,1.69,1012.26,82.18935719499999,80.0,47.0,40.0,6.363803588,0.57
China,North,1991,1991-01-01,Vegetables,33.32,1456.66,80.473145665,,,,,1.791
India,West Bengal,1992,1992-01-01,Wheat,4.0,2553.17,80.473145665,,,,,2.29
Nigeria,South West,1999,1999-01-01,Corn,17.0,2502.55,80.473145665,,,,,3.26
Argentina,Patagonia,2009,2009-01-01,Cotton,1.63,1942.88,80.01089273,117.0,46.0,19.0,6.8409568125,0.738
Nigeria,North Central,2017,2017-01-01,Cotton,6.68,2298.79,80.01089273,117.0,46.0,19.0,6.8409568125,1.53
Russia,Siberian,2016,2016-01-01,Fruits,27.23,481.89,80.473145665,,,,,2.403
Argentina,Pampas,1992,1992-01-01,Rice,12.19,1357.22,82.18935719499999,80.0,47.0,40.0,6.363803588,2.394
Canada,Ontario,2018,2018-01-01,Vegetables,32.26,1491.16,80.473145665,,,,,2.08
India,West Bengal,2007,2007-01-01,Rice,1.41,1433.18,82.18935719499999,80.0,47.0,40.0,6.363803588,1.782
India,West Bengal,1995,1995-01-01,Cotton,16.39,1428.32,80.01089273,117.0,46.0,19.0,6.8409568125,2.385
France,Nouvelle-Aquitaine,2002,2002-01-01,Cotton,28.84,2179.58,80.01089273,117.0,46.0,19.0,6.8409568125,3.74
Nigeria,North Central,2011,2011-01-01,Cotton,27.48,874.46,80.01089273,117.0,46.0,19.0,6.8409568125,3.402
Canada,British Columbia,1991,1991-01-01,Wheat,8.13,2051.08,80.473145665,,,,,1.098
China,Central,2023,2023-01-01,Vegetables,2.04,2149.31,80.473145665,,,,,2.97
China,North,2007,2007-01-01,Sugarcane,24.47,1646.89,80.473145665,,,,,2.04
Brazil,South,2001,2001-01-01,Corn,-1.45,1389.08,80.473145665,,,,,2.439
Nigeria,South East,2013,2013-01-01,Soybeans,29.12,2010.44,80.473145665,,,,,2.1870000000000003
China,North,1992,1992-01-01,Sugarcane,7.06,416.45,80.473145665,,,,,1.404
Brazil,Southeast,2006,2006-01-01,Fruits,32.45,2580.32,80.473145665,,,,,3.79
Australia,New South Wales,2019,2019-01-01,Cotton,31.6,2790.32,80.01089273,117.0,46.0,19.0,6.8409568125,0.87
USA,Midwest,1999,1999-01-01,Fruits,23.99,2699.58,80.473145665,,,,,1.17
India,Tamil Nadu,1996,1996-01-01,Wheat,19.32,1896.87,80.473145665,,,,,4.77
